"DateTime","Depth","Observed_OXY_oxy","Modeled_OXY_oxy"
2016-06-02,7,467.6534375,323.410400718718
2016-06-02,8,471.1509375,323.221694951357
2016-06-02,9,471.4759375,323.327442770315
2016-06-02,9.2,471.008125,323.327442770315
2016-06-03,0.1,293.19125,266.525737749523
2016-06-03,1,313.8625,266.5161043715
2016-06-03,2,378.0371875,266.502633097554
2016-06-03,3,375.9459375,273.729544583131
2016-06-03,4,322.4490625,265.571621591929
2016-06-03,5,273.3378125,272.194226588438
2016-06-03,6,456.6765625,323.488409496072
2016-06-03,7,466.231875,323.404669129682
2016-06-03,8,469.66125,323.215215676518
2016-06-03,9,470.5353125,323.321380033303
2016-06-03,9.2,470.9765625,323.321380033303
2016-06-06,0.1,228.200625,259.522366337674
2016-06-06,1,228.7746875,259.098537134632
2016-06-06,2,389.339375,259.017744657794
2016-06-06,3,392.438125,266.97815427768
2016-06-06,4,331.859375,257.864142707545
2016-06-06,5,218.1359375,265.495334849428
2016-06-06,6,457.7121875,323.204567852895
2016-06-06,7,473.0253125,323.119800687738
2016-06-06,8,473.0575,322.927993739242
2016-06-06,9,473.0125,323.035457062953
2016-06-06,9.2,473.0125,323.035457062953
2016-06-07,0.1,275.636875,260.061229300645
2016-06-07,1,263.850625,259.611334352461
2016-06-07,2,236.0725,259.523104610075
2016-06-07,3,387.225625,265.669598026638
2016-06-07,4,314.0025,255.206478506811
2016-06-07,5,207.209375,263.667042366775
2016-06-07,6,466.648125,322.993215055371
2016-06-07,7,469.5871875,322.907573354363
2016-06-07,8,475.129375,322.715726213929
2016-06-07,9,477.0275,322.823269388285
2016-06-07,9.2,476.505625,322.823269388285
2016-06-08,0.1,227.8284375,265.52093227449
2016-06-08,1,255.2959375,263.858236634642
2016-06-08,2,293.5828125,263.561826243196
2016-06-08,3,392.1028125,265.509488755804
2016-06-08,4,270.1975,252.658999886145
2016-06-08,5,208.8721875,262.418600748023
2016-06-08,6,458.9625,322.636872738183
2016-06-08,7,475.3434375,322.549984752588
2016-06-08,8,478.306875,322.358749012935
2016-06-08,9,479.0109375,322.466059938763
2016-06-08,9.2,479.3109375,322.466059938763
2016-06-09,0.1,243.8084375,273.290322010561
2016-06-09,1,219.1796875,271.639313330265
2016-06-09,2,277.3790625,271.229422633963
2016-06-09,3,412.9384375,270.565123312602
2016-06-09,4,354.395,253.91845552888
2016-06-09,5,199.363125,261.803097091288
2016-06-09,6,386.8946875,322.09092864134
2016-06-09,7,471.3734375,322.002416896328
2016-06-09,8,474.58,321.812233474843
2016-06-09,9,476.32,321.919125297519
2016-06-09,9.2,475.0775,321.919125297519
2016-06-13,0.1,179.2509375,274.49582526236
2016-06-13,1,203.825625,274.561447153781
2016-06-13,2,264.2478125,274.616299891039
2016-06-13,3,431.65875,273.722578723377
2016-06-13,4,367.68,251.735188431141
2016-06-13,5,184.215625,254.703889397034
2016-06-13,6,444.5465625,314.99731656882
2016-06-13,7,448.2896875,314.905398101947
2016-06-13,8,449.6125,314.714780662772
2016-06-13,9,448.925625,314.822142957894
2016-06-13,9.2,449.6096875,314.822142957894
2016-06-20,0.1,284.2690625,264.438690716779
2016-06-20,1,288.5740625,264.210411135975
2016-06-20,2,283.32,264.157236597659
2016-06-20,3,432.265,258.924868171668
2016-06-20,4,346.089375,233.558056046485
2016-06-20,5,180.735,224.608095453182
2016-06-20,6,418.2940625,298.674548552434
2016-06-20,7,427.3253125,305.825039616828
2016-06-20,8,428.8721875,305.703287919102
2016-06-20,9,429.15375,305.774177252716
2016-06-20,9.2,429.15375,305.774177252716
